952 925
417 173 -750
712 625 174
598 730 348
816 773 -266
699 299 480
614 450 -136
581 149 540
271 248 -834
794 870 -305
586 678 -120
27 261 295
918 560 87
635 714 -758
792 250 838
114 750 -775
710 855 741
752 523 -329
328 202 -662
347 179 -319
444 761 731
351 662 452
873 213 775
352 262 532
363 409 993
4 127 -530
353 558 871
167 198 644
331 516 842
618 829 -946
205 118 -387
266 745 652
37 607 226
567 186 -726
621 325 -342
249 873 168
459 939 -738
713 586 883
645 342 -392
613 596 517
49 775 151
294 383 775
442 877 507
654 355 110
770 160 328
491 118 791
430 555 -471
913 164 -602
803 492 -493
667 431 117
946 299 736
910 68 -882
572 769 -836
650 816 -414
789 223 -205
489 144 -794
178 489 -393
742 608 975
400 880 671
608 257 -244
71 244 545
665 155 832
432 537 748
591 616 724
819 565 -516
542 749 88
470 181 -215
333 936 -294
779 405 -120
939 619 -288
466 780 110
662 18 -897
448 705 115
253 615 -683
535 527 104
241 693 882
139 541 -87
621 308 -501
127 724 120
471 436 -539
948 661 507
484 845 154
195 78 31
253 13 -797
121 668 576
806 162 450
454 895 455
192 682 -165
224 344 606
408 181 -900
25 878 -45
904 190 603
834 938 871
499 111 -828
741 498 51
35 43 421
379 340 687
40 544 325
248 17 -673
87 78 68
11 619 -468
188 691 -548
719 397 670
940 817 -837
557 20 340
654 648 124
90 366 150
270 885 189
936 13 -857
586 219 -738
921 140 -978
449 71 -987
93 765 418
625 381 -444
119 709 -227
892 468 -348
442 402 -978
907 258 977
706 290 553
652 197 929
142 309 -666
577 788 -416
727 649 -803
883 181 -613
713 814 49
803 842 158
574 405 -410
707 160 255
849 402 27
618 406 -226
778 342 -144
762 651 -847
825 173 407
518 375 -933
590 841 -172
339 396 -711
758 825 -463
8 849 -495
558 712 33
265 138 -18
884 841 -220
506 90 937
99 747 -777
449 255 278
112 588 -145
469 432 -68
112 128 -447
825 840 722
333 488 820
4 56 82
811 765 659
30 195 -4
200 499 920
582 168 89
235 604 -142
611 2 251
941 53 -858
828 498 -429
378 805 657
831 246 648
647 475 -811
311 149 -945
136 706 -201
876 169 -39
720 841 -735
516 83 -111
447 567 695
137 385 -676
81 654 -913
568 837 86
642 749 -340
567 661 918
538 900 953
57 61 -562
823 894 564
432 770 -782
47 363 692
720 285 866
634 371 -31
150 290 750
348 892 -466
546 929 6
873 57 -366
698 283 394
1 74 341
903 184 246
140 932 -834
660 616 171
530 724 422
267 577 754
513 674 -645
488 28 275
533 606 -41
215 27 -406
216 870 -441
154 531 -540
748 27 -941
280 477 -417
276 303 -43
719 43 539
430 289 399
443 783 -864
173 932 403
21 121 -926
804 351 932
774 530 -389
946 256 -479
384 571 257
63 837 -923
544 581 52
944 730 892
95 220 -982
776 710 517
148 627 -715
703 249 -911
349 194 -649
328 329 -818
191 103 73
557 50 -888
472 825 -278
97 786 -241
483 2 686
278 315 249
698 684 -861
131 115 -94
856 294 -29
916 765 -294
8 876 -245
719 139 888
325 86 -367
442 98 -110
227 392 528
334 81 -115
273 595 -15
314 460 -243
78 836 -480
217 454 -138
380 33 812
951 156 -98
297 77 -264
452 180 387
765 860 -621
95 686 354
60 388 712
796 355 531
310 638 -217
330 79 211
177 707 -848
736 421 -775
150 861 -38
485 141 600
29 823 570
772 324 267
665 666 -253
347 899 361
657 515 -704
526 731 502
742 333 -70
218 725 360
383 133 476
776 395 -713
345 270 909
361 515 428
101 727 -597
76 801 894
896 351 751
226 596 518
213 163 46
827 7 -567
427 591 912
314 631 -798
529 236 287
754 585 278
719 787 -854
448 719 643
320 44 -833
912 782 -403
269 606 -401
305 803 138
15 114 -126
106 680 -650
515 631 -740
407 671 932
538 225 458
374 66 998
589 628 -613
148 622 324
498 756 -399
778 801 -499
