19
854 1647
631 673 351
461 439 157
583 273 195
370 390 188
608 95 504
482 69 406
830 480 104
168 290 243
615 201 852
37 701 842
549 433 372
349 88 626
648 789 246
525 68 243
128 697 455
190 726 137
844 52 825
818 538 867
362 410 215
261 414 699
663 832 921
337 478 231
668 149 131
685 573 887
800 699 319
165 275 173
270 30 250
74 314 403
407 559 318
580 842 6
19 644 406
766 83 951
548 235 362
3 395 608
545 525 85
716 168 710
807 764 740
811 295 454
512 739 382
33 643 76
476 821 238
784 786 456
698 669 162
674 587 2
268 658 464
595 743 231
849 410 569
115 201 292
689 240 928
385 497 295
196 771 790
756 814 213
301 352 797
383 88 103
189 88 744
536 716 485
811 230 821
433 394 324
154 590 453
192 463 504
696 795 288
521 103 443
103 844 975
170 12 57
147 638 425
711 530 271
272 166 22
13 608 885
329 421 672
335 822 584
198 31 841
125 248 978
165 14 402
280 428 731
532 168 199
527 411 284
156 483 651
640 659 252
219 386 432
599 505 445
739 847 942
578 648 964
11 542 341
801 191 938
771 42 854
614 431 375
567 524 475
696 142 525
600 379 832
476 428 938
836 391 854
266 370 6
428 747 929
387 103 424
636 577 88
187 573 152
268 758 313
554 159 118
599 592 245
502 539 80
77 235 925
306 105 563
636 117 838
126 253 63
254 115 552
541 384 871
260 325 304
279 22 265
179 480 276
838 304 363
840 574 253
848 636 68
630 295 19
830 500 65
700 436 793
281 508 98
265 174 179
519 581 700
853 113 347
842 127 222
10 758 978
669 419 354
706 246 576
684 87 342
642 532 714
111 164 536
723 250 67
398 61 704
179 465 359
637 448 306
815 551 199
166 768 288
108 51 286
324 764 260
445 364 947
43 492 43
282 279 99
624 227 487
756 593 352
355 232 714
703 407 8
213 853 958
131 396 193
812 174 645
632 734 963
755 12 612
288 517 599
5 488 873
1 350 588
794 90 820
188 43 298
130 729 949
731 225 817
507 808 658
765 682 845
735 712 133
294 291 822
484 541 205
340 731 685
471 491 287
666 309 841
191 512 710
173 78 953
839 425 349
482 190 5
149 623 575
587 619 399
850 759 562
575 680 355
613 620 959
120 714 981
502 833 812
342 324 70
656 185 885
259 264 362
554 798 657
277 680 867
195 719 174
443 386 517
60 331 571
385 669 382
253 837 415
343 197 962
347 170 813
53 209 456
381 47 719
571 774 105
812 191 727
383 707 655
266 288 420
694 256 370
479 820 910
21 764 470
533 633 733
256 458 989
126 267 766
592 455 524
122 847 891
199 296 461
193 699 81
386 233 883
404 76 24
699 702 513
283 221 957
345 572 871
457 336 718
674 370 878
43 694 359
767 12 229
725 394 779
812 505 222
678 453 726
559 749 981
678 372 882
258 306 734
29 436 592
372 605 456
118 763 68
602 116 470
627 389 539
747 834 574
196 796 208
521 445 743
808 473 568
425 232 797
661 64 618
628 222 323
614 305 554
535 598 63
204 794 54
626 757 486
699 649 347
414 607 773
815 706 712
19 289 624
537 66 313
37 515 838
302 145 493
435 632 559
336 706 965
564 759 280
52 673 454
48 376 408
20 304 674
223 122 968
211 172 52
770 254 205
188 238 593
6 168 836
776 191 589
727 39 979
269 678 989
180 675 340
845 232 751
264 798 359
391 69 760
273 700 906
489 608 403
95 466 79
398 781 452
620 77 63
57 722 251
319 767 729
732 150 701
135 800 28
680 27 377
440 772 837
648 78 224
615 117 659
382 154 202
92 21 998
243 726 844
727 124 267
175 340 386
787 225 808
498 653 686
248 312 519
289 621 179
230 95 86
538 740 509
748 735 90
825 365 198
152 506 704
306 690 556
672 680 170
650 825 867
818 548 57
31 574 975
382 123 622
839 229 988
745 232 740
706 744 881
442 453 622
777 698 761
692 571 341
723 446 26
415 547 486
473 5 591
586 222 392
499 155 260
243 458 737
583 452 643
247 772 446
557 449 19
277 38 924
847 66 314
449 401 449
411 670 624
464 238 350
72 476 556
177 447 871
43 738 34
731 812 282
520 94 233
416 768 34
631 434 820
827 689 15
108 288 281
4 593 903
779 195 163
77 812 227
398 775 749
85 584 298
681 464 153
538 295 334
279 761 50
330 57 566
656 511 841
248 513 766
103 262 805
284 141 580
62 258 805
209 514 264
814 675 821
585 87 948
329 383 526
755 565 875
