961 2469
372 20 870
201 624 964
160 89 355
476 546 664
519 864 831
497 799 761
669 912 54
603 310 353
187 391 969
678 619 926
899 492 569
436 843 957
552 891 508
15 273 592
838 514 940
530 881 316
247 419 772
819 308 268
573 498 229
751 378 861
886 717 55
959 410 689
705 600 863
498 24 119
872 865 784
201 432 711
21 895 708
803 493 692
190 75 901
101 342 459
433 803 935
502 193 230
655 909 637
260 331 790
639 766 565
16 910 451
182 427 919
307 118 979
465 686 253
722 601 197
76 959 740
303 424 491
821 208 201
235 763 232
21 746 898
765 744 415
540 400 858
376 769 943
910 258 610
455 648 822
779 418 522
916 389 39
658 900 908
931 285 500
856 485 513
291 541 855
165 431 350
258 927 145
781 802 897
816 749 920
758 953 72
871 192 675
410 703 913
350 552 590
406 714 753
719 293 616
91 182 942
151 628 185
776 155 891
899 345 906
300 251 17
107 85 502
890 154 546
925 688 985
745 943 78
863 767 417
202 373 79
913 657 146
104 6 860
663 685 163
609 371 879
35 498 311
544 836 154
600 288 976
195 537 258
276 80 271
239 286 635
455 5 17
600 220 422
443 659 617
829 96 233
869 135 318
259 915 364
249 183 567
94 751 313
478 52 438
221 144 774
826 268 482
652 225 325
495 548 228
901 601 396
90 695 719
705 140 335
461 353 403
745 803 454
706 942 16
117 729 256
735 406 87
8 847 737
827 936 4
758 286 282
738 545 448
270 230 262
472 191 998
794 123 58
344 69 313
745 613 800
780 201 878
160 654 382
502 780 256
858 709 491
79 370 464
200 537 42
39 551 222
854 343 802
854 183 387
821 874 937
796 599 569
581 951 3
54 491 193
351 598 54
810 358 584
305 535 373
894 458 226
755 115 955
308 116 313
276 684 117
320 584 16
449 845 356
507 545 755
585 448 382
25 601 712
535 896 652
682 809 489
302 640 708
97 460 638
99 371 807
216 927 931
860 847 591
128 941 957
46 592 150
36 73 73
274 903 635
802 209 100
202 301 907
417 830 733
61 685 132
674 838 845
691 126 977
517 661 892
574 482 159
634 912 514
885 643 111
217 180 999
447 958 591
585 775 716
928 282 604
2 200 161
241 272 401
222 188 771
735 889 398
235 294 788
74 747 388
452 262 55
920 822 197
281 138 911
467 219 935
620 340 630
653 532 540
279 255 234
397 938 390
98 900 960
246 257 932
268 547 955
922 670 637
574 532 445
401 933 992
835 675 353
241 481 236
96 863 565
133 508 976
757 907 180
218 456 544
819 23 519
433 879 474
448 688 896
472 7 991
691 891 521
869 376 707
777 311 321
822 848 12
618 228 114
61 792 103
321 754 170
491 299 450
66 848 828
121 415 316
390 118 351
544 22 977
478 813 517
41 101 295
624 59 811
171 382 454
381 570 117
449 794 8
472 596 135
258 828 506
499 784 951
380 53 976
511 790 250
855 269 429
828 916 542
319 956 904
940 711 767
609 723 651
841 898 735
528 781 534
339 644 980
352 408 1000
71 906 584
680 784 558
911 758 118
365 695 437
843 670 277
492 61 202
140 352 474
86 804 723
893 196 494
814 54 287
766 379 43
454 513 136
65 700 104
422 737 847
209 226 564
469 944 597
536 749 982
749 599 150
168 484 908
628 124 300
158 456 138
513 280 115
780 771 533
390 208 203
603 546 832
389 349 371
596 878 609
305 928 748
584 957 855
257 114 15
634 378 248
907 261 700
394 770 543
339 550 642
493 842 424
663 310 625
268 547 380
952 208 121
411 274 275
891 670 182
790 438 12
890 618 965
781 484 334
272 852 91
944 484 744
51 704 735
278 732 273
907 289 117
378 791 208
432 369 555
710 653 805
842 671 686
289 939 619
256 932 32
822 741 873
354 539 1
261 578 526
553 190 754
227 201 826
779 615 559
162 903 717
169 218 277
867 793 147
795 32 611
600 892 409
115 203 311
185 818 996
857 599 831
718 293 805
586 646 592
309 961 665
915 314 681
467 14 616
934 313 822
621 220 800
830 162 959
228 443 660
628 51 886
765 145 490
860 133 614
185 99 651
312 315 273
554 512 972
123 348 836
751 627 223
822 604 634
41 438 884
93 861 374
831 788 780
627 230 183
909 613 241
295 935 468
510 636 56
138 60 992
329 334 508
846 342 370
886 892 813
447 198 486
219 379 97
85 451 220
557 749 697
57 227 813
415 645 560
857 255 386
150 215 443
543 26 290
622 246 169
355 104 373
781 569 876
874 625 295
567 775 14
89 247 774
721 474 716
160 816 262
447 833 856
542 580 113
947 13 962
437 800 497
775 512 317
573 123 384
261 579 142
898 822 59
188 281 124
759 727 54
661 165 68
18 163 288
529 136 20
482 692 257
846 829 664
594 372 752
854 334 740
442 666 517
17 131 955
937 582 869
750 120 579
265 632 546
465 768 389
265 842 316
157 133 812
465 770 727
207 288 655
49 96 182
737 11 613
18 651 581
87 13 384
136 247 432
118 946 243
700 387 501
65 215 9
116 50 944
919 435 737
862 105 123
286 249 325
407 534 860
237 762 633
897 795 30
551 673 647
803 31 318
192 711 840
514 294 186
211 18 710
776 134 183
267 621 153
254 81 142
767 187 398
338 572 991
658 574 55
571 145 588
608 695 286
626 132 238
690 656 866
248 531 651
369 378 954
397 137 503
48 541 874
274 257 706
63 154 658
901 876 610
453 475 996
91 249 428
892 69 377
939 698 413
283 485 574
195 80 576
136 635 100
363 465 59
908 847 824
441 457 328
231 658 598
211 166 255
14 220 205
241 296 373
271 552 381
446 757 911
619 607 673
867 802 993
727 315 95
920 53 50
162 360 206
393 478 281
48 492 991
73 326 174
853 844 568
924 913 143
888 195 909
673 185 392
677 37 262
663 488 666
202 648 712
939 850 905
864 163 782
92 514 424
744 371 862
524 150 762
505 947 324
871 722 652
905 752 225
277 586 642
871 131 312
902 893 591
234 481 857
151 500 830
245 682 494
371 782 105
917 461 535
785 944 400
533 775 187
443 742 188
635 705 592
957 576 939
104 949 363
611 249 154
881 264 921
407 951 859
297 838 580
97 51 880
918 268 806
279 955 80
688 835 496
118 868 710
152 495 620
70 514 251
274 704 405
261 871 573
146 596 62
168 696 731
816 244 151
194 34 417
249 576 442
243 644 304
318 424 274
797 756 900
415 350 553
641 676 336
338 921 445
508 755 176
137 508 349
677 490 406
922 92 351
161 845 106
591 466 816
264 782 896
51 420 761
609 365 639
924 887 740
628 700 283
471 791 610
588 719 850
269 752 869
912 584 461
845 802 923
885 161 157
407 847 968
735 824 224
602 238 77
85 6 801
766 446 915
827 118 323
410 677 416
278 608 208
417 807 474
246 312 107
566 461 977
17 431 635
645 16 592
370 702 850
278 510 183
459 930 781
550 563 582
10 837 921
270 932 469
707 416 695
197 514 234
598 520 237
789 312 445
557 529 828
271 34 537
198 961 915
387 633 802
888 711 762
248 850 211
766 826 627
515 655 204
749 82 986
775 607 812
274 335 751
859 300 746
647 701 899
870 775 143
662 223 670
554 727 929
951 200 412
159 309 267
18 804 690
582 263 702
1 875 888
240 331 455
579 325 272
573 387 686
180 287 198
286 736 993
823 604 740
275 353 512
473 157 816
785 558 944
162 833 249
772 7 348
106 221 491
546 140 729
715 779 23
910 916 414
481 921 563
427 165 604
320 730 81
693 537 592
695 427 791
854 188 912
957 411 911
773 644 678
305 367 946
150 949 131
756 221 12
803 338 553
651 309 53
468 196 508
284 580 632
485 196 9
280 764 306
174 700 184
323 502 730
607 231 432
917 901 444
273 896 56
588 506 859
515 199 384
531 832 592
379 701 866
823 422 469
279 762 845
252 688 498
300 541 156
51 612 238
745 570 912
413 869 806
204 680 857
882 408 782
804 5 114
876 761 1000
26 87 234
681 953 99
959 224 182
302 742 515
186 523 272
195 10 393
639 191 377
665 753 982
855 115 963
461 728 848
833 154 253
502 808 805
634 165 222
424 568 134
563 46 398
550 116 121
365 107 163
518 725 80
761 611 173
893 725 761
440 474 599
475 935 49
213 519 158
253 522 591
726 110 961
296 8 706
341 75 999
75 944 165
190 215 703
128 639 767
495 193 500
369 938 702
576 888 517
14 136 454
518 848 463
192 376 859
349 816 862
126 865 181
477 828 8
522 61 654
554 118 488
405 70 449
909 620 394
405 383 420
60 647 492
458 924 247
194 790 468
203 740 775
469 631 263
829 356 971
714 211 988
384 441 430
221 489 723
603 390 921
187 196 34
217 363 415
382 248 166
311 730 592
61 588 689
779 743 685
735 717 560
917 756 236
439 206 483
42 955 374
378 648 220
927 406 74
796 367 703
192 492 762
346 528 581
623 835 272
270 900 512
225 546 13
266 74 85
843 374 252
862 54 617
584 607 399
84 377 836
253 686 747
687 893 560
176 445 433
916 416 149
164 293 720
432 380 844
876 727 239
546 99 198
541 300 794
167 367 977
310 269 850
374 904 152
294 374 757
174 447 457
227 148 670
72 195 323
576 504 591
552 645 159
520 920 145
761 798 235
591 911 679
706 585 876
591 71 64
574 720 25
273 33 45
863 821 978
497 847 877
397 684 743
263 941 752
631 723 550
430 314 549
621 73 501
521 741 642
197 675 701
7 468 604
27 776 194
619 497 672
48 536 115
866 27 541
113 486 395
819 562 280
502 59 502
167 429 324
762 343 681
55 391 57
670 853 98
805 782 618
176 421 15
877 580 464
266 426 340
47 667 896
718 443 570
433 633 884
542 958 826
455 707 866
455 134 844
633 848 969
476 198 457
313 466 602
708 222 852
410 280 686
36 191 19
574 615 900
509 536 538
339 331 234
637 876 979
293 274 586
578 355 9
102 867 938
780 605 499
228 64 124
623 319 109
394 673 998
947 903 937
450 682 242
398 207 986
262 941 697
661 729 672
2 497 92
655 906 886
858 490 729
588 645 271
68 141 694
886 441 797
369 477 344
452 722 21
675 916 426
2 618 341
691 739 947
278 640 736
235 486 158
785 548 937
487 205 230
712 661 732
587 629 800
379 460 327
262 767 210
439 447 501
927 868 555
547 266 788
24 952 971
605 279 234
388 868 923
658 160 160
825 714 273
565 470 928
883 3 948
240 553 220
8 251 226
553 795 981
413 3 883
161 445 890
530 682 277
147 815 976
195 576 955
255 64 381
96 698 582
87 719 768
496 959 929
948 196 641
715 519 913
699 497 436
75 212 627
942 862 598
239 485 795
159 83 414
477 187 918
429 763 168
602 635 539
804 788 403
478 822 629
288 834 155
133 737 348
785 640 429
59 138 922
271 492 14
718 661 854
889 779 665
911 904 665
413 50 973
921 835 183
775 259 560
624 316 792
615 87 22
878 119 913
652 938 301
673 358 963
302 473 176
723 654 233
199 783 196
584 469 300
81 10 943
506 555 33
94 290 782
841 77 541
209 405 193
441 682 622
607 116 829
403 447 800
350 387 530
572 181 70
823 107 17
31 752 807
926 422 617
838 664 336
205 221 937
450 733 854
166 148 109
351 929 428
215 591 900
341 818 237
43 98 91
128 895 241
319 460 539
881 763 709
37 195 589
791 900 663
152 721 907
495 674 241
544 855 125
185 629 951
680 418 353
495 649 264
383 931 213
454 97 820
522 469 982
857 205 600
651 632 236
567 505 976
333 254 593
860 51 410
926 686 897
484 720 226
