19
839 803
206 616 -741
815 577 109
818 703 101
554 740 -920
457 348 -746
39 23 -995
446 34 -97
560 794 -638
652 697 -257
234 427 -861
282 144 482
823 709 255
4 116 322
20 156 675
403 570 912
670 554 -185
584 293 -144
265 663 130
779 643 -573
470 3 -176
494 554 -366
281 160 -52
488 356 463
442 300 458
619 243 -721
494 157 775
585 233 -482
661 290 8
314 401 327
249 78 -473
192 350 -29
662 480 -412
492 86 -960
415 165 449
616 10 88
15 718 -174
99 131 350
104 572 -517
628 33 -816
632 55 372
439 318 363
316 399 -484
200 545 933
404 431 297
270 44 -142
507 825 957
543 578 470
759 32 450
554 643 -376
131 94 -700
518 741 -634
196 135 -303
483 760 -363
734 654 262
626 61 563
728 318 548
472 646 85
551 819 -886
210 117 372
561 9 -316
463 139 75
821 411 -621
580 334 486
373 614 347
109 621 115
336 476 67
165 11 332
372 797 598
25 453 608
725 410 129
641 354 -615
717 393 -241
531 322 234
552 729 695
9 155 -271
242 609 -26
346 693 -352
351 749 800
118 622 493
128 431 -482
470 574 581
240 528 -685
314 697 277
540 783 -325
122 8 -934
698 503 -406
738 376 -227
832 297 -458
41 575 -762
456 198 494
337 248 926
186 498 -768
461 71 -817
726 398 417
300 775 -337
23 309 -435
747 393 -857
487 778 -640
457 741 -47
624 578 -117
23 611 392
425 220 978
254 212 662
560 671 684
522 67 -308
583 499 134
323 828 558
641 19 -114
332 15 510
613 695 796
816 273 914
258 513 255
183 771 -992
90 668 668
586 756 -34
223 31 -632
323 410 -878
258 335 -177
688 317 -702
153 781 -679
399 828 -557
765 739 -974
550 637 897
596 491 -222
267 348 -859
451 89 758
542 212 794
63 429 -447
512 501 231
662 442 189
635 727 554
477 382 539
241 84 -78
159 415 506
92 640 -598
569 445 760
305 450 -504
683 515 684
544 830 950
588 485 71
276 351 311
583 605 -156
636 62 -573
512 672 -665
209 300 225
808 454 649
698 62 907
44 593 102
64 173 581
215 783 252
457 714 90
700 726 693
462 417 -127
13 264 -217
393 776 754
368 314 12
375 715 338
234 310 -93
197 144 -66
438 736 623
399 562 765
806 171 55
103 720 -721
293 398 46
541 577 136
163 212 -106
549 797 -861
32 2 -47
616 776 504
572 667 -53
444 333 -336
197 73 579
71 520 -607
