8548 27917
1280 4052 882
1978 1235 827
6330 7762 -643
6300 1883 -479
4661 3699 189
4168 1779 644
6585 652 844
5724 6063 -103
2049 303 593
4642 3322 -35
1478 4505 -495
958 3136 -165
2007 2381 -505
7539 7746 0
4806 193 -86
4303 525 -810
3742 2917 598
2037 2757 157
6161 4809 723
736 8118 -593
6386 4972 176
7657 2195 871
487 2964 931
4152 6860 777
718 3005 78
4958 5333 -446
8469 6813 738
4050 8147 38
3642 3219 469
7293 141 -726
3427 3900 249
8542 7128 -269
594 660 -801
8476 2979 -601
7254 7722 -847
809 2460 -572
5490 3983 621
3434 4310 -995
2056 7144 775
3439 7680 -893
3835 2625 -558
8402 5109 806
5589 3704 367
311 3443 -451
7127 4978 464
894 7904 -382
5656 4039 350
7965 7899 -121
8352 5501 -499
2100 4439 556
1516 1906 -764
8366 1694 -630
4419 8010 201
2417 5974 -904
8301 3347 155
5873 6131 86
5106 3575 734
3395 8005 -760
4315 3494 988
7461 5083 412
6256 3045 609
7969 5690 -695
101 4456 -224
7965 174 -69
5355 5062 297
7189 3418 857
5441 6963 -264
6502 5282 145
1408 8232 -643
1209 3616 533
3665 4391 78
5730 3159 130
952 7122 519
6285 4623 485
8196 6083 445
6461 5482 285
3737 8540 -178
1377 6927 -387
2880 8098 252
996 4038 829
8076 1361 -49
5601 7936 112
629 169 -232
1289 1748 -511
186 3438 -844
7813 4056 -444
3089 3315 -833
1104 1221 -169
5702 8128 -184
6179 8467 -983
4190 721 633
4802 7054 776
7065 4920 -759
3475 887 421
1183 1965 95
2929 8365 845
2008 7381 483
8329 7473 519
142 2151 -437
1195 7755 229
8071 4894 426
3376 8109 -417
6555 5650 698
3862 1430 -756
7053 7514 728
3065 2029 -802
260 3606 -33
2966 3077 -751
900 1410 770
3575 1897 -531
4415 2074 957
7894 5262 -456
2219 5433 -867
5390 7919 -133
5521 7544 -709
2925 5943 -192
5759 6688 -123
2840 3756 -730
6629 2437 717
6628 1960 212
2993 3749 -291
7676 1601 761
5814 2164 -303
3879 2042 814
3821 4964 -73
2585 1152 -720
5999 2440 389
6520 4139 -714
4161 2141 198
6657 8350 -179
8156 1824 -165
4313 2990 -334
6833 6062 -989
2697 5314 990
2162 5249 -854
6480 2799 -3
6728 7913 383
4498 3541 198
8456 6822 -828
3222 4472 629
8542 4061 -849
6795 6685 -741
5410 6069 661
3904 7532 545
4308 5569 -722
7878 4671 693
6363 3167 152
470 3859 184
6015 4986 709
2288 865 575
4070 1281 612
7361 4738 -757
6004 8528 776
6747 7748 -1
607 1739 435
8150 697 -850
8069 1938 -457
4358 4508 -636
2592 4617 39
2136 5364 749
8329 4908 -334
4343 7516 -438
3515 5783 332
5666 5145 -732
3253 2160 -831
4860 2249 -585
6606 240 272
6125 2001 -775
1704 5486 -212
2946 2475 -791
2902 3621 882
8181 375 165
8518 2932 -677
1240 8026 -244
5147 1393 -543
8206 7681 -454
5931 6725 882
3343 4566 -959
5747 464 922
2775 4227 -180
